"",".id","X.Intercept.","call","AIC","plant_rich","scelev","evi","plant_rich.evi","plant_rich.scelev","evi.scelev","R2m","R2c"
"1","Selasphorus platycercus_spring","-3.16 [0.63]*","resp ~ (1 | month)",10434,NA,NA,NA,NA,NA,NA,0,0.443659137367237
"2","Selasphorus platycercus_spring","-3.33 [0.65]*","resp ~ plant_rich + (1 | month)",10433,"0.03 [0.02]",NA,NA,NA,NA,NA,0.000612444800910551,0.430801735692274
"3","Selasphorus platycercus_spring","-5.19 [0.62]*","resp ~ plant_rich + scelev + (1 | month)",8798,"0.16 [0.02]*","1.48 [0.04]*",NA,NA,NA,NA,0.21540995813135,0.524880745671971
"4","Selasphorus platycercus_spring","-3.18 [0.66]*","resp ~ evi + (1 | month)",10435,NA,NA,"0.15 [0.28]",NA,NA,NA,3.675311972027e-05,0.441901736132093
"5","Selasphorus platycercus_spring","-4.48 [0.68]*","resp ~ evi + scelev + (1 | month)",8837,NA,"1.43 [0.04]*","1.44 [0.37]*",NA,NA,NA,0.183408450639076,0.552373705488111
"6","Selasphorus platycercus_spring","-3.34 [0.65]*","resp ~ plant_rich + evi + (1 | month)",10434,"0.03 [0.02]",NA,"0.12 [0.28]",NA,NA,NA,0.000708453919243842,0.429695312981793
"7","Selasphorus platycercus_spring","-5.94 [0.63]*","resp ~ plant_rich + evi + plant_rich * evi + (1 | month)",10340,"0.43 [0.05]*",NA,"12.56 [1.33]*","-1.78 [0.19]*",NA,NA,0.0624419555476639,0.391018623811903
"8","Selasphorus platycercus_spring","-5.52 [0.59]*","resp ~ plant_rich + evi + scelev + (1 | month)",8779,"0.17 [0.02]*","1.48 [0.04]*","1.69 [0.36]*",NA,NA,NA,0.225514590058166,0.510039827654435
"9","Selasphorus platycercus_spring","-5.04 [0.57]*","resp ~ plant_rich + evi + scelev + plant_rich * scelev + (1 | month)",8765,"0.1 [0.03]*","0.87 [0.16]*","1.84 [0.37]*",NA,"0.1 [0.02]*",NA,0.216535691394424,0.484683904840237
"10","Selasphorus platycercus_spring","-4.4 [0.53]*","resp ~ plant_rich + evi + scelev + evi * scelev + (1 | month)",8457,"0.21 [0.02]*","-0.26 [0.1]*","-4.93 [0.6]*",NA,NA,"8.93 [0.53]*",0.317618632466376,0.526215331816141
"11","Selasphorus platycercus_spring","-8.36 [0.6]*","resp ~ plant_rich + evi + scelev + plant_rich * evi + (1 | month)",8706,"0.61 [0.06]*","1.5 [0.04]*","16.23 [1.79]*","-2.12 [0.26]*",NA,NA,0.318072264091215,0.503894115543493
"12","Selasphorus platycercus_spring","-8.09 [0.64]*","resp ~ plant_rich + evi + scelev + plant_rich * evi + plant_rich * scelev + (1 | month)",8707,"0.57 [0.07]*","1.31 [0.17]*","15.65 [1.86]*","-2.03 [0.27]*","0.03 [0.03]",NA,0.310589630801985,0.496125085100023
"13","Selasphorus platycercus_spring","-6.19 [0.61]*","resp ~ plant_rich + evi + scelev + plant_rich * evi + evi * scelev + (1 | month)",8435,"0.48 [0.06]*","-0.22 [0.11]*","5.07 [2.16]*","-1.46 [0.3]*",NA,"8.69 [0.55]*",0.355381628162835,0.520701151539202
"14","Selasphorus platycercus_spring","-6.12 [0.62]*","resp ~ plant_rich + evi + scelev + plant_rich * evi + plant_rich * scelev + evi * scelev + (1 | month)",8437,"0.47 [0.06]*","-0.31 [0.2]","5.11 [2.17]*","-1.46 [0.31]*","0.01 [0.03]","8.68 [0.55]*",0.356217107322773,0.520015043192059
"15","Archilochus alexandri_spring","-2.8 [0.71]*","resp ~ (1 | month)",10911,NA,NA,NA,NA,NA,NA,0,0.469638034672648
"16","Archilochus alexandri_spring","-4.84 [0.55]*","resp ~ plant_rich + (1 | month)",10398,"0.37 [0.02]*",NA,NA,NA,NA,NA,0.102131523486654,0.375259433630737
"17","Archilochus alexandri_spring","-4.78 [0.56]*","resp ~ plant_rich + scelev + (1 | month)",10397,"0.36 [0.02]*","-0.06 [0.03]",NA,NA,NA,NA,0.0997448121407309,0.377201017866457
"18","Archilochus alexandri_spring","-2.99 [0.75]*","resp ~ evi + (1 | month)",10896,NA,NA,"1.13 [0.27]*",NA,NA,NA,0.00193688032567546,0.458756333158186
"19","Archilochus alexandri_spring","-2.89 [0.76]*","resp ~ evi + scelev + (1 | month)",10870,NA,"-0.16 [0.03]*","0.84 [0.27]*",NA,NA,NA,0.00469706839766966,0.463004015144762
"20","Archilochus alexandri_spring","-4.84 [0.55]*","resp ~ plant_rich + evi + (1 | month)",10400,"0.36 [0.02]*",NA,"0.05 [0.27]",NA,NA,NA,0.102380044789575,0.375237570401543
"21","Archilochus alexandri_spring","-5.67 [0.57]*","resp ~ plant_rich + evi + plant_rich * evi + (1 | month)",10390,"0.49 [0.04]*",NA,"4.22 [1.23]*","-0.56 [0.16]*",NA,NA,0.138600315776235,0.380179568960345
"22","Archilochus alexandri_spring","-4.77 [0.56]*","resp ~ plant_rich + evi + scelev + (1 | month)",10399,"0.36 [0.02]*","-0.06 [0.03]","-0.05 [0.28]",NA,NA,NA,0.099453023368933,0.3772767542513
"23","Archilochus alexandri_spring","-4.77 [0.55]*","resp ~ plant_rich + evi + scelev + plant_rich * scelev + (1 | month)",10382,"0.35 [0.02]*","-0.6 [0.13]*","0.23 [0.28]",NA,"0.08 [0.02]*",NA,0.122351449499024,0.384167540115461
"24","Archilochus alexandri_spring","-5.08 [0.51]*","resp ~ plant_rich + evi + scelev + evi * scelev + (1 | month)",10254,"0.41 [0.02]*","-0.88 [0.08]*","0.51 [0.29]",NA,NA,"4.2 [0.35]*",0.172099186961103,0.393602785979368
"25","Archilochus alexandri_spring","-5.64 [0.58]*","resp ~ plant_rich + evi + scelev + plant_rich * evi + (1 | month)",10388,"0.49 [0.04]*","-0.07 [0.03]*","4.34 [1.23]*","-0.59 [0.16]*",NA,NA,0.136633661454434,0.383071879859009
"26","Archilochus alexandri_spring","-5.36 [0.58]*","resp ~ plant_rich + evi + scelev + plant_rich * evi + plant_rich * scelev + (1 | month)",10378,"0.44 [0.04]*","-0.52 [0.13]*","3.2 [1.25]*","-0.41 [0.17]*","0.07 [0.02]*",NA,0.143661225046628,0.389080224716259
"27","Archilochus alexandri_spring","-5.37 [0.56]*","resp ~ plant_rich + evi + scelev + plant_rich * evi + evi * scelev + (1 | month)",10255,"0.45 [0.04]*","-0.88 [0.08]*","2.01 [1.28]","-0.2 [0.17]",NA,"4.12 [0.36]*",0.184472844106223,0.397995339531685
